,id,label,age,treatment,raw_time,timeFMT,timeDSS,FMT,DSS,donor_age,donor2acceptor,label_id,timeBF,timeBO,BF,BO,CHÊ±¼ä,cohousing,primry_order,cage,Alias,Alias2
sample1033,1033,FMT-YY-D11-S1-1,2,2,11,11,NA,1,NA,2,YY,S1,NA,NA,NA,NA,NA,NA,136,S,FMT-M,
sample1034,1034,FMT-YY-D11-S2-1,2,2,11,11,NA,1,NA,2,YY,S2,NA,NA,NA,NA,NA,NA,137,S,FMT-M,
sample1035,1035,FMT-YY-D11-S3-1,2,2,11,11,NA,1,NA,2,YY,S3,NA,NA,NA,NA,NA,NA,138,S,FMT-M,
sample1036,1036,FMT-YY-D11-S4-1,2,2,11,11,NA,1,NA,2,YY,S4,NA,NA,NA,NA,NA,NA,139,S,FMT-M,
sample1037,1037,FMT-YY-D11-S5-1,2,2,11,11,NA,1,NA,2,YY,S5,NA,NA,NA,NA,NA,NA,140,S,FMT-M,
sample1042,1042,U1,2,2,11,11,NA,1,1,2,YY,U1,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1043,1043,U2,2,2,11,11,NA,1,1,2,YY,U2,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1044,1044,U3,2,2,11,11,NA,1,1,2,YY,U3,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1045,1045,U4,2,2,11,11,NA,1,1,2,YY,U4,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1046,1046,U5,2,2,11,11,NA,1,1,2,YY,U5,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample1047,1047,FMT-YO-D11-G1-1,18,2,11,11,NA,1,NA,2,YO,G1,NA,NA,NA,NA,NA,NA,141,G,FMT-UM,
sample1048,1048,FMT-YO-D11-G2-1,18,2,11,11,NA,1,NA,2,YO,G2,NA,NA,NA,NA,NA,NA,142,G,FMT-UM,
sample1049,1049,FMT-YO-D11-G3-1,18,2,11,11,NA,1,NA,2,YO,G3,NA,NA,NA,NA,NA,NA,143,G,FMT-UM,
