,id,label,age,treatment,raw_time,timeFMT,timeDSS,FMT,DSS,donor_age,donor2acceptor,label_id,timeBF,timeBO,BF,BO,CHÊ±¼ä,cohousing,primry_order,cage,Alias,Alias2
sample789,789,V5,2,2,0,0,-25,1,1,18,OY,V5,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample790,790,FMT-OY-DN1-W1-1,2,2,0,0,NA,1,NA,18,OY,W1,NA,NA,NA,NA,NA,NA,51,W,FMT-UM,
sample791,791,FMT-OY-DN1-W2-1,2,2,0,0,NA,1,NA,18,OY,W2,NA,NA,NA,NA,NA,NA,52,W,FMT-UM,
sample792,792,FMT-OY-DN1-W3-1,2,2,0,0,NA,1,NA,18,OY,W3,NA,NA,NA,NA,NA,NA,53,W,FMT-UM,
sample793,793,FMT-OY-DN1-W4-1,2,2,0,0,NA,1,NA,18,OY,W4,NA,NA,NA,NA,NA,NA,54,W,FMT-UM,
sample794,794,FMT-OY-DN1-W5-1,2,2,0,0,NA,1,NA,18,OY,W5,NA,NA,NA,NA,NA,NA,55,W,FMT-UM,
sample800,800,FMT-OO-DN1-J1-1,18,2,0,0,NA,1,NA,18,OO,J1,NA,NA,NA,NA,NA,NA,56,J,FMT-M,
sample801,801,FMT-OO-DN1-J2-1,18,2,0,0,NA,1,NA,18,OO,J2,NA,NA,NA,NA,NA,NA,57,J,FMT-M,
sample802,802,FMT-OO-DN1-J3-1,18,2,0,0,NA,1,NA,18,OO,J3,NA,NA,NA,NA,NA,NA,58,J,FMT-M,
sample803,803,FMT-OO-DN1-J4-1,18,2,0,0,NA,1,NA,18,OO,J4,NA,NA,NA,NA,NA,NA,59,J,FMT-M,
sample804,804,FMT-OO-DN1-J5-1,18,2,0,0,NA,1,NA,18,OO,J5,NA,NA,NA,NA,NA,NA,60,J,FMT-M,
sample805,805,K1,18,2,0,0,-25,1,1,18,OO,K1,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample806,806,K2,18,2,0,0,-25,1,1,18,OO,K2,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample807,807,K3,18,2,0,0,-25,1,1,18,OO,K3,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample808,808,K4,18,2,0,0,-25,1,1,18,OO,K4,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample809,809,K5,18,2,0,0,-25,1,1,18,OO,K5,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample815,815,FMT-YY-D1-S1-1,2,2,1,1,NA,1,NA,2,YY,S1,NA,NA,NA,NA,NA,NA,61,S,FMT-M,
sample816,816,FMT-YY-D1-S2-1,2,2,1,1,NA,1,NA,2,YY,S2,NA,NA,NA,NA,NA,NA,62,S,FMT-M,
sample817,817,FMT-YY-D1-S3-1,2,2,1,1,NA,1,NA,2,YY,S3,NA,NA,NA,NA,NA,NA,63,S,FMT-M,
sample818,818,FMT-YY-D1-S4-1,2,2,1,1,NA,1,NA,2,YY,S4,NA,NA,NA,NA,NA,NA,64,S,FMT-M,
sample819,819,FMT-YY-D1-S5-1,2,2,1,1,NA,1,NA,2,YY,S5,NA,NA,NA,NA,NA,NA,65,S,FMT-M,
sample824,824,U1,2,2,1,1,NA,1,1,2,YY,U1,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample825,825,U2,2,2,1,1,NA,1,1,2,YY,U2,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample826,826,U3,2,2,1,1,NA,1,1,2,YY,U3,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample827,827,U4,2,2,1,1,NA,1,1,2,YY,U4,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample828,828,U5,2,2,1,1,NA,1,1,2,YY,U5,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample829,829,FMT-YO-D1-G1-1,18,2,1,1,NA,1,NA,2,YO,G1,NA,NA,NA,NA,NA,NA,66,G,FMT-UM,
sample830,830,FMT-YO-D1-G2-1,18,2,1,1,NA,1,NA,2,YO,G2,NA,NA,NA,NA,NA,NA,67,G,FMT-UM,
sample831,831,FMT-YO-D1-G3-1,18,2,1,1,NA,1,NA,2,YO,G3,NA,NA,NA,NA,NA,NA,68,G,FMT-UM,
sample832,832,FMT-YO-D1-G4-1,18,2,1,1,NA,1,NA,2,YO,G4,NA,NA,NA,NA,NA,NA,69,G,FMT-UM,
sample833,833,FMT-YO-D1-G5-1,18,2,1,1,NA,1,NA,2,YO,G5,NA,NA,NA,NA,NA,NA,70,G,FMT-UM,
sample834,834,H1,18,2,1,1,NA,1,1,2,YO,H1,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample835,835,H2,18,2,1,1,NA,1,1,2,YO,H2,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample836,836,H3,18,2,1,1,NA,1,1,2,YO,H3,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample837,837,H4,18,2,1,1,NA,1,1,2,YO,H4,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample838,838,H5,18,2,1,1,NA,1,1,2,YO,H5,NA,NA,NA,NA,NA,NA,NA,H,FMT-UM-DSS,
sample844,844,V1,2,2,1,1,NA,1,1,18,OY,V1,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample845,845,V2,2,2,1,1,NA,1,1,18,OY,V2,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample846,846,V3,2,2,1,1,NA,1,1,18,OY,V3,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample847,847,V4,2,2,1,1,NA,1,1,18,OY,V4,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample848,848,V5,2,2,1,1,NA,1,1,18,OY,V5,NA,NA,NA,NA,NA,NA,NA,V,FMT-UM-DSS,
sample849,849,FMT-OY-D1-W1-1,2,2,1,1,NA,1,NA,18,OY,W1,NA,NA,NA,NA,NA,NA,71,W,FMT-UM,
sample850,850,FMT-OY-D1-W2-1,2,2,1,1,NA,1,NA,18,OY,W2,NA,NA,NA,NA,NA,NA,72,W,FMT-UM,
sample851,851,FMT-OY-D1-W3-1,2,2,1,1,NA,1,NA,18,OY,W3,NA,NA,NA,NA,NA,NA,73,W,FMT-UM,
sample852,852,FMT-OY-D1-W4-1,2,2,1,1,NA,1,NA,18,OY,W4,NA,NA,NA,NA,NA,NA,74,W,FMT-UM,
sample853,853,FMT-OY-D1-W5-1,2,2,1,1,NA,1,NA,18,OY,W5,NA,NA,NA,NA,NA,NA,75,W,FMT-UM,
sample859,859,FMT-OO-D1-J1-1,18,2,1,1,NA,1,NA,18,OO,J1,NA,NA,NA,NA,NA,NA,76,J,FMT-M,
sample860,860,FMT-OO-D1-J2-1,18,2,1,1,NA,1,NA,18,OO,J2,NA,NA,NA,NA,NA,NA,77,J,FMT-M,
sample861,861,FMT-OO-D1-J3-1,18,2,1,1,NA,1,NA,18,OO,J3,NA,NA,NA,NA,NA,NA,78,J,FMT-M,
sample862,862,FMT-OO-D1-J4-1,18,2,1,1,NA,1,NA,18,OO,J4,NA,NA,NA,NA,NA,NA,79,J,FMT-M,
sample863,863,FMT-OO-D1-J5-1,18,2,1,1,NA,1,NA,18,OO,J5,NA,NA,NA,NA,NA,NA,80,J,FMT-M,
sample864,864,K1,18,2,1,1,NA,1,1,18,OO,K1,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample865,865,K2,18,2,1,1,NA,1,1,18,OO,K2,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample866,866,K3,18,2,1,1,NA,1,1,18,OO,K3,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample867,867,K4,18,2,1,1,NA,1,1,18,OO,K4,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample868,868,K5,18,2,1,1,NA,1,1,18,OO,K5,NA,NA,NA,NA,NA,NA,NA,K,FMT-M-DSS,
sample884,884,FMT-YY-D4-S1-1,2,2,4,4,NA,1,NA,2,YY,S1,NA,NA,NA,NA,NA,NA,91,S,FMT-M,
sample885,885,FMT-YY-D4-S2-1,2,2,4,4,NA,1,NA,2,YY,S2,NA,NA,NA,NA,NA,NA,92,S,FMT-M,
sample886,886,FMT-YY-D4-S3-1,2,2,4,4,NA,1,NA,2,YY,S3,NA,NA,NA,NA,NA,NA,93,S,FMT-M,
sample887,887,FMT-YY-D4-S4-1,2,2,4,4,NA,1,NA,2,YY,S4,NA,NA,NA,NA,NA,NA,94,S,FMT-M,
sample888,888,FMT-YY-D4-S5-1,2,2,4,4,NA,1,NA,2,YY,S5,NA,NA,NA,NA,NA,NA,95,S,FMT-M,
sample893,893,U1,2,2,4,4,NA,1,1,2,YY,U1,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
sample894,894,U2,2,2,4,4,NA,1,1,2,YY,U2,NA,NA,NA,NA,NA,NA,NA,U,FMT-M-DSS,
