timeFMT,donor2acceptor,value,id,age
4,Y3,11.98465,3,2
7,Y3,11.98328,3,2
21,Y3,11.82206,3,2
42,Y3,11.9581,3,2
0,Y3,11.92556,4,2
1,Y3,11.90912,4,2
4,Y3,11.92313,4,2
7,Y3,11.97355,4,2
21,Y3,11.56457,4,2
42,Y3,11.75663,4,2
0,Y3,11.94891,5,2
1,Y3,11.78137,5,2
4,Y3,12.00764,5,2
7,Y3,11.89109,5,2
21,Y3,11.75944,5,2
42,Y3,11.74871,5,2
0,O3,11.73692,1,18
1,O3,11.04023,1,18
4,O3,11.69804,1,18
7,O3,11.84161,1,18
21,O3,11.73341,1,18
42,O3,11.88926,1,18
0,O3,11.84626,2,18
1,O3,11.18032,2,18
4,O3,11.43856,2,18
7,O3,11.78597,2,18
21,O3,11.84804,2,18
42,O3,11.77195,2,18
0,O3,11.78411,3,18
1,O3,11.2234,3,18
4,O3,11.43691,3,18
7,O3,11.77066,3,18
21,O3,11.98759,3,18
42,O3,11.85386,3,18
0,O3,11.7518,4,18
1,O3,11.32591,4,18
4,O3,11.37539,4,18
7,O3,11.87348,4,18
21,O3,11.96554,4,18
42,O3,11.64009,4,18
0,O3,11.71857,5,18
1,O3,11.73199,5,18
4,O3,11.70326,5,18
7,O3,12.01684,5,18
21,O3,11.76791,5,18
42,O3,11.66477,5,18
